importsequencenumber,icsba_isinterdivisionapplicable,icsba_requestoption,icsba_requestoptiontitle,icsba_requestoptionscreenname,icsba_requestoptionslkpid,statuscode,statecode,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,icsba_employeedivisiontypefk,owningbusinessunit,icsba_requestoptiontypefk
,FALSE,Other/Unsure - Extension,Extension,,b3754468-22ad-ef11-b8e8-6045bd3d423c,1,0,,,24291438,79d20951-fa22-4ec0-9218-3058f19a6fdc,d64cd96b-0633-ee11-bdf4-6045bd404393,74989856-96a8-ef11-b8e8-000d3ae0cb61
,FALSE,Div A Operational - Extension,Extension,,b2754468-22ad-ef11-b8e8-6045bd3d423c,1,0,,,24291436,007bf3ba-55da-404e-8d2f-b823f0bfdc81,d64cd96b-0633-ee11-bdf4-6045bd404393,74989856-96a8-ef11-b8e8-000d3ae0cb61
,FALSE,Div B Operational - Extension,Extension,,b1754468-22ad-ef11-b8e8-6045bd3d423c,1,0,,,24291434,db08e797-5b10-4ec4-973b-87dabefd13ba,d64cd96b-0633-ee11-bdf4-6045bd404393,74989856-96a8-ef11-b8e8-000d3ae0cb61
,FALSE,Div A Corporate - Extension,Extension,,b0754468-22ad-ef11-b8e8-6045bd3d423c,1,0,,,24291432,b9b1e324-4283-4510-b63a-8f2ad6fbf370,d64cd96b-0633-ee11-bdf4-6045bd404393,74989856-96a8-ef11-b8e8-000d3ae0cb61
,TRUE,Div B Corporate - Employee Cessation,Employee Cessation,,b9754468-22ad-ef11-b8e8-6045bd3d423c,1,0,,,24291429,eef6da24-7172-4d4c-8d6a-1bc44b9368b9,d64cd96b-0633-ee11-bdf4-6045bd404393,b9145458-96a8-ef11-b8e9-000d3ae0985b
,FALSE,CFA Secondment - Employee Cessation,Employee Cessation,,b8754468-22ad-ef11-b8e8-6045bd3d423c,1,0,,,24291428,b6d2ef91-8215-41ce-bf7b-33a685745982,d64cd96b-0633-ee11-bdf4-6045bd404393,b9145458-96a8-ef11-b8e9-000d3ae0985b
,FALSE,Other/Unsure - Employee Cessation,Employee Cessation,,b7754468-22ad-ef11-b8e8-6045bd3d423c,1,0,,,24291426,79d20951-fa22-4ec0-9218-3058f19a6fdc,d64cd96b-0633-ee11-bdf4-6045bd404393,b9145458-96a8-ef11-b8e9-000d3ae0985b
,FALSE,Div A Corporate - Employee Cessation,Employee Cessation,,b4754468-22ad-ef11-b8e8-6045bd3d423c,1,0,,,24291424,b9b1e324-4283-4510-b63a-8f2ad6fbf370,d64cd96b-0633-ee11-bdf4-6045bd404393,b9145458-96a8-ef11-b8e9-000d3ae0985b
,FALSE,Div B Operational - Employee Cessation,Employee Cessation,,7c33a466-22ad-ef11-b8e8-000d3ae0cb61,1,0,,,24291422,db08e797-5b10-4ec4-973b-87dabefd13ba,d64cd96b-0633-ee11-bdf4-6045bd404393,b9145458-96a8-ef11-b8e9-000d3ae0985b
,TRUE,Div B Corporate - Change: Hours of Work,Change: Hours of Work,,c2754468-22ad-ef11-b8e8-6045bd3d423c,1,0,,,24291417,eef6da24-7172-4d4c-8d6a-1bc44b9368b9,d64cd96b-0633-ee11-bdf4-6045bd404393,7295039f-97a8-ef11-b8e9-000d3ae0985b
,TRUE,Div A Corporate - Change: Hours of Work,Change: Hours of Work,,be754468-22ad-ef11-b8e8-6045bd3d423c,1,0,,,24291414,b9b1e324-4283-4510-b63a-8f2ad6fbf370,d64cd96b-0633-ee11-bdf4-6045bd404393,7295039f-97a8-ef11-b8e9-000d3ae0985b
,FALSE,Other/Unsure - Change: Hours of Work,Change: Hours of Work,,a8433566-22ad-ef11-b8e9-000d3ae0985b,1,0,,,24291413,79d20951-fa22-4ec0-9218-3058f19a6fdc,d64cd96b-0633-ee11-bdf4-6045bd404393,7295039f-97a8-ef11-b8e9-000d3ae0985b
,FALSE,Div A Corporate - Change: Classification,Change: Classification,,7f33a466-22ad-ef11-b8e8-000d3ae0cb61,1,0,,,24291408,b9b1e324-4283-4510-b63a-8f2ad6fbf370,d64cd96b-0633-ee11-bdf4-6045bd404393,8ed954d3-97a8-ef11-b8e8-000d3ae0cb61
